"id","updated_at","carbs","dietary_fiber","energy_kcal","energy_kj","fat","name","net_carbs","preparation_time_in_minutes","protein","saturated_fats","servings","sugar","total_fats","total_grams","categories"
224,2024-09-18 11:10:48.423,61.1377,3.3199,499.67650000000003,0.0,23.1724,Σαλάτα του Καίσαρα,0.0,30,8.30055,0.0,1,17.331364999999998,23.1724,355.54999999999995,"2,3,4"
226,2025-03-26 07:31:16.480,5.24255,1.1695,161.69150000000002,0.0,13.96825,Σαλάτα του σεφ,0.0,15,4.090125,1.3371250000000001,4,3.16584125,13.96825,112.4125,"2,4"
222,2024-09-18 08:12:13.301,63.6787,12.794900000000002,355.9205,0.0,4.938400000000001,Σαλάτα φάβας,0.0,15,12.572049999999999,0.316,1,11.081365,4.938400000000001,491.65,"2,4"
39,2024-08-29 11:38:42.343,19.189133333333334,4.7199333333333335,221.5136666666667,0.0,12.922266666666665,Σαλάτα χωριάτικη,0.0,8,8.988033333333334,0.26933333333333337,3,10.189910000000003,12.922266666666665,435.76666666666665,"2,3,4"
629,2025-04-11 07:20:58.508,31.023000000000003,4.409,357.59000000000003,0.0,11.097,Σάντουιτς με μπιφτέκι σόγιας,0.0,20,16.442,4.08,1,8.884,11.097,203.5,"2,4"
93,2024-09-05 10:58:31.727,2.9766333333333335,0.8289333333333332,252.73866666666666,0.0,10.54026666666667,Σαρδέλα με μουστάρδα,0.0,10,16.436366666666668,0.013333333333333334,6,0.6217433333333333,10.54026666666667,143.1625,"2,4"
42,2024-11-09 11:41:37.441,6.8406,2.01895,520.9415,0.0,22.224749999999997,Σαρδέλα στο φούρνο,0.0,35,39.97030000000001,0.0613,5,3.4832100000000006,22.224749999999997,331.75,"2,4"
287,2024-10-18 06:41:57.016,27.793125000000003,3.790875,155.87812499999998,0.0,3.84675,Σκορδαλιά,0.0,30,3.4340625,0.15225,4,1.22420625,3.84675,170.8125,"2,4"
203,2024-09-13 12:33:55.648,27.734749999999995,4.74434375,184.92156250000002,0.0,4.60584375,Σκορδόψωμο,0.0,10,8.509125000000001,0.3123125,4,3.0782000000000003,4.60584375,79.34375,"2,3,4"
45,2024-08-29 14:01:50.299,6.214133333333334,0.8479333333333333,274.732,0.0,24.241100000000003,Σκουμπρί καπνιστό με θυμάρι και χυμό λεμονιού,0.0,20,8.2087,0.013333333333333334,3,4.61091,24.241100000000003,101.72500000000001,"2,4"
280,2024-10-12 10:53:12.229,22.28,0.66,182.06,0.0,8.28,Σοκολατένια μπισκότα,0.0,20,4.275,0.0,10,10.232,8.28,41.0,"1,3"
201,2024-09-13 09:09:55.064,46.446566666666676,6.190800000000002,305.2085,0.0,4.319966666666667,Σολομός πλακί,0.0,90,20.86135,0.27599999999999997,3,4.1064549999999995,4.319966666666667,415.7166666666667,"2,4"
92,2024-09-05 06:40:46.210,17.782400000000003,3.4238,249.99099999999999,0.0,10.329800000000002,Σολομός στο φούρνο με φασολάκια και λεμονάτη σάλτσα,0.0,30,20.5491,0.05,2,3.47773,10.329800000000002,376.675,"2,4"
236,2024-09-19 06:57:47.223,11.46555,0.6678000000000001,79.9915,0.0,3.51405,Σορμπέ πεπόνι χωρίς ζάχαρη,0.0,15,1.3348499999999999,0.07135,10,11.163750000000002,3.51405,81.35,"1,3"
235,2024-09-19 06:54:52.608,34.705000000000005,3.2405,138.3,0.0,0.6930000000000001,Σορμπέ φράουλας χωρίς ζάχαρη,0.0,5,1.59175,0.035,4,27.98625,0.6930000000000001,173.25,"1,3"
153,2024-09-10 10:02:44.553,33.100725,4.124168750000001,198.60118749999998,0.0,6.00804375,Σούπα βελουτέ με πράσο και πατάτα,0.0,40,4.0130875,0.1923125,4,3.34717625,6.00804375,267.48125,"2,4"
590,2025-01-18 09:14:08.979,33.838,6.34634375,167.18531249999998,0.0,2.24109375,Σούπα με γλυκοπατάτα και καρότο,0.0,40,3.9377500000000007,0.1152875,4,10.451437499999999,2.24109375,455.21875,"2,4"
200,2024-09-13 09:06:53.323,20.264666666666667,5.715395833333335,216.0702083333333,0.0,10.930895833333333,Σούπα μπρόκολο με τυρί τσένταρ,0.0,60,12.480833333333331,0.2349583333333333,6,4.673041666666666,10.930895833333333,273.8125,"2,4"
44,2024-09-04 12:15:53.378,17.626083333333337,5.822083333333333,719.8166666666666,0.0,40.85675,Σουπιές με σπανάκι,0.0,50,77.52991666666667,0.24983333333333332,6,4.045758333333333,40.85675,599.2291666666666,"2,4"
618,2025-04-09 07:52:38.692,85.50000000000001,0.32999999999999996,446.765,0.0,3.8199999999999994,Σούσι γαρίδας,0.0,40,15.870000000000001,0.02,1,11.77,3.8199999999999994,166.95,"2,4"
53,2024-09-05 10:56:37.360,41.10511111111111,1.0001111111111112,500.9933333333333,0.0,25.36166666666667,Σουτζουκάκια σμυρναίικα φούρνου με ρύζι,0.0,90,26.76488888888889,0.0006666666666667,9,4.022222222222222,25.36166666666667,195.81944444444446,"2,4"
121,2024-09-06 08:24:06.115,47.0479375,4.377125,582.1754999999999,0.0,24.8275625,Σουφλέ ζυμαρικών,0.0,40,40.20001250000001,0.000125,8,5.140499999999999,24.8275625,278.5375,"2,4"
151,2024-09-10 09:18:55.950,19.00314,1.116155,142.62284999999997,0.0,3.7418549999999997,Σουφλέ με κολοκύθια,0.0,60,8.16571,0.08115,10,4.410723,3.7418549999999997,155.405,"2,4"
155,2024-09-10 10:38:41.730,33.337125,15.005031250000002,523.7353125,0.0,28.91634375,Σουφλέ με σολομό,0.0,35,17.317375000000002,0.004812499999999999,4,4.0703125,28.91634375,269.78125,"2,3,4"
206,2024-09-14 07:14:39.313,63.825250000000004,11.58034375,712.4615625,0.0,30.58534375,Σουφλέ με σπανάκι και ψωμί του τοστ,0.0,60,47.577125,0.3258125,4,11.753699999999998,30.58534375,732.84375,"2,4"
131,2024-09-06 13:52:14.534,59.459999999999994,7.62,1074.0,0.0,67.74,Σουφλέ πατάτας,0.0,45,57.54,0.36,5,5.7,67.74,630.0,"0"
282,2024-10-12 11:04:21.851,25.425412500000004,0.0033333333333333335,281.79024999999996,0.0,18.4352375,Σουφλέ σοκολάτας,0.0,20,2.65,0.0000708333333333,12,19.2386625,18.4352375,55.90416666666667,"1,3"
636,2025-05-21 07:14:10.746,0.44147499999999995,0.0,97.024,0.0,6.275425,Σουφλέ σοκολάτας Κετο,0.0,10,6.3374999999999995,2.120425,2,0.44147499999999995,6.275425,82.925,"3"
115,2024-09-06 07:39:46.258,37.99546666666667,4.269308333333333,361.50616666666673,0.0,14.690100000000001,Σουφλέ σπανάκι,0.0,75,21.848116666666666,0.18383333333333332,6,2.8644099999999995,14.690100000000001,324.05833333333334,"2,4"
11,2024-09-04 12:15:53.380,45.90975,4.677250000000001,234.2025,0.0,1.47125,Σπανακόρυζο,0.0,45,12.359,0.20725000000000002,4,2.8625,1.47125,257.25,"2,4"
20,2024-09-04 12:15:53.390,19.043116666666666,1.23915,211.95341666666664,0.0,11.018066666666668,Σπανακοτυρόπιτα,0.0,90,8.666175,0.03,12,5.381894166666666,11.018066666666668,112.08749999999999,"0,1,2,3,4"
