"id","created_at","updated_at","basic","carbs","default_amount","default_measurement","dietary_fiber","energy_kcal","energy_kj","food_group","name","protein","saturated_fats","source_database","sugar","total_fats","density"
997,2024-08-22 14:24:40.123,2024-09-04 12:14:22.199,false,4.0,1.0,SLICES,0.0,376.0,1573.184,,Τυρί Φέτα,4.5,0.0,AB,4.0,38.0,1.0
998,2024-08-22 14:24:40.144,2024-09-04 12:14:22.221,false,0.1,2.0,TABLESPOONS,0.0,341.3,1427.9992000000002,,Τυρί Κρέμα Mascarpone,19.9,0.0,AB,0.1,28.6,1.1
999,2024-08-22 14:24:40.164,2024-09-04 12:14:22.239,false,2.5,1.0,SLICES,0.0,102.0,426.76800000000003,,Τυρί Danablu,16.3,0.0,AB,1.0,3.0,1.0
1000,2024-08-22 14:24:40.188,2024-09-04 12:14:22.256,false,0.7,1.0,SLICES,2.2,276.0,1154.784,,Ζαμπόν Μπούτι,16.5,0.0,AB,0.7,23.0,1.0
1001,2024-08-22 14:24:40.220,2024-09-04 12:14:22.274,false,5.6,1.0,SLICES,0.0,91.0,380.744,,Τυρί Φέτα Ελασσόνας,12.6,0.0,AB,1.4,2.0,1.0
2065,2024-08-22 14:25:16.742,2024-09-05 12:48:27.640,false,0.0,1.0,PORTIONS,0.0,324.0,1355.616,5,Βόεια Σπαλομπριζόλα Άνευ Οστού,24.0,0.0,AB,0.0,25.0,1.0
1002,2024-08-22 14:24:40.249,2024-09-04 12:14:22.291,false,1.5,1.0,SLICES,0.0,255.0,1066.92,,Γαλοπούλα Βραστή 30% Λιγότερο Αλάτι,15.0,0.0,AB,1.5,21.0,1.0
1003,2024-08-22 14:24:40.269,2024-09-04 12:14:22.307,false,0.5,1.0,PORTIONS,0.0,276.0,1154.784,,Λουκάνικα Καπνιστά,15.5,0.0,AB,0.5,23.5,1.0
1004,2024-08-22 14:24:40.294,2024-09-04 12:14:22.336,false,0.0,1.0,SLICES,0.0,289.0,1209.1760000000002,,Τυρί Κατσικίσιο Κισσάβου,16.0,0.0,AB,0.0,25.0,1.0
1005,2024-08-22 14:24:40.327,2024-09-04 12:14:22.363,false,0.0,1.0,SLICES,0.0,368.0,1539.712,,Λευκό Τυρί Κατσικίσιο,26.7,0.0,AB,0.0,29.0,1.0
1006,2024-08-22 14:24:40.359,2024-09-04 12:14:22.383,false,6.0,1.0,SLICES,0.0,260.0,1087.8400000000001,,Τυρί Ημίσκληρο Emmental,14.0,0.0,AB,1.0,20.0,1.0
1007,2024-08-22 14:24:40.390,2024-09-04 12:14:22.401,false,25.0,1.0,SLICES,0.4,295.0,1234.28,,Μορταδέλα,11.0,0.0,AB,5.0,16.5,1.0
1008,2024-08-22 14:24:40.438,2024-09-04 12:14:22.420,false,0.0,1.0,PIECES,0.0,395.0,1652.68,,Τυροβουτιές Τηγμένο Τυρί & Κριτσίνια,29.0,0.0,AB,0.0,31.0,1.0
1009,2024-08-22 14:24:40.468,2024-09-04 12:14:22.437,false,2.0,2.0,TABLESPOONS,0.0,316.0,1322.144,,Τριμμένο Τυρί Emmental,23.0,0.0,AB,2.0,24.0,0.5
1010,2024-08-22 14:24:40.495,2024-09-04 12:14:22.455,false,2.0,1.0,SLICES,0.0,258.0,1079.472,,Τυρί Χαλλούμι Κυπριακό,15.0,0.0,AB,1.0,20.0,1.0
1011,2024-08-22 14:24:40.519,2024-09-04 12:14:22.474,false,3.0,1.0,SLICES,0.0,116.0,485.344,,Σαλάμι Μπύρας,17.0,0.0,AB,1.0,4.0,1.0
1012,2024-08-22 14:24:40.548,2024-09-04 12:14:22.492,false,6.0,1.0,PIECES,0.0,94.0,393.296,,Μπριζόλα Καπνιστή,13.0,0.0,AB,1.0,2.0,1.0
1013,2024-08-22 14:24:40.567,2024-09-04 12:14:22.511,false,5.3,1.0,SLICES,0.6,144.0,602.496,,Σετ Κοτόπουλο Ψητό & Τυρί Gouda Creamy,6.9,0.0,AB,5.2,10.0,1.0
1014,2024-08-22 14:24:40.591,2024-09-04 12:14:22.530,false,0.5,1.0,TABLESPOONS,0.0,410.0,1715.44,,Τυρί Κρέμα Σκόρδο & Χορταρικά,25.0,0.0,AB,0.5,34.0,1.1
1015,2024-08-22 14:24:40.617,2024-09-04 12:14:22.551,false,0.5,1.0,SLICES,0.0,341.0,1426.7440000000001,,Τυρί Ημίσκληρο Cheddar Κίτρινο,26.0,0.0,AB,0.5,26.0,1.0
1016,2024-08-22 14:24:40.636,2024-09-04 12:14:22.579,false,0.2,1.0,SLICES,0.0,393.0,1644.3120000000001,,Τυρί Havarti,26.5,0.0,AB,0.0,30.5,1.0
